ANDALUCÍA	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	7.0	7.0	0.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	183.0	117.0	-36.1	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	7.0	15.0	114.3	
    6.-TRÁFICO DE DROGAS (EU)	5.0	2.0	-60.0	
    7.-DAÑOS	110.0	102.0	-7.3	
    8.-HURTOS	145.0	179.0	23.4	
- Municipio de Jerez de la Frontera	
    1.-DELITOS Y FALTAS (EU)	2777.0	2485.0	-10.5	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	46.0	52.0	13.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	98.0	51.0	-48.0	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	87.0	75.0	-13.8	
    6.-TRÁFICO DE DROGAS (EU)	7.0	7.0	0.0	
    7.-DAÑOS	324.0	234.0	-27.8	
    8.-HURTOS	955.0	931.0	-2.5	
- Municipio de Línea de la Concepción (La)	
    1.-DELITOS Y FALTAS (EU)	702.0	592.0	-15.7	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	0.0	0.0	0.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	21.0	21.0	0.0	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	17.0	12.0	-29.4	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	32.0	20.0	-37.5	
    6.-TRÁFICO DE DROGAS (EU)	9.0	13.0	44.4	
    7.-DAÑOS	79.0	83.0	5.1	
    8.-HURTOS	142.0	135.0	-4.9	
- Municipio de Puerto de Santa María (El)	
    1.-DELITOS Y FALTAS (EU)	967.0	893.0	-7.7	
    2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU)	1.0	0.0	-100.0	
    3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU)	18.0	15.0	-16.7	
    4.-ROBOS CON FUERZA EN DOMICILIOS (EU)	40.0	13.0	-67.5	
    5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU)	25.0	20.0	-20.0	
