Item	Total Fat (% Daily Value)	Saturated Fat (% Daily Value)	Cholesterol (% Daily Value)	Sodium (% Daily Value)	Carbohydrates (% Daily Value)	Dietary Fiber (% Daily Value)	Vitamin A (% Daily Value)	Vitamin C (% Daily Value)	Calcium (% Daily Value)	Iron (% Daily Value)	Sugars (% Daily Value)	Protein (% Daily Value)
Hot Chocolate with Nonfat Milk (Small)	5	11	5	7	17	3	15		40		-	9999
Hot Chocolate with Nonfat Milk (Medium)	5	11	6	9	20	4	20		50		-	9999
Hot Chocolate with Nonfat Milk (Large)	6	12	7	12	25	5	25		60		-	9999
Regular Iced Coffee (Small)	7	15	6	1	8	0	4		4		-	9999
Regular Iced Coffee (Medium)	11	22	9	2	10	0	4		4		-	9999
Regular Iced Coffee (Large)	14	29	12	3	16	0	6		8		-	9999
Caramel Iced Coffee (Small)	7	15	6	2	7	0	4		4		-	9999
Caramel Iced Coffee (Medium)	11	22	9	2	10	0	4		4		-	9999
Caramel Iced Coffee (Large)	14	29	12	3	14	0	6	0.0	6		-	9999
Hazelnut Iced Coffee (Small)	7	15	6	1	7	0	4	0.0	4		-	9999
Hazelnut Iced Coffee (Medium)	11	22	9	2	10	0	4	0.0	4		-	9999
Hazelnut Iced Coffee (Large)	14	29	12	3	14	0	6	0.0	8		-	9999
French Vanilla Iced Coffee (Small)	7	15	6	2	7	0	4	0.0	4		-	9999
French Vanilla Iced Coffee (Medium)	11	22	9	2	9	0	4	0.0	4		-	9999
French Vanilla Iced Coffee (Large)	14	29	12	3	14	0	6	0.0	8		-	9999
Iced Coffee with Sugar Free French Vanilla Syrup (Small)	7	15	6	3	3	0	4	0.0	4		-	9999
Iced Coffee with Sugar Free French Vanilla Syrup (Medium)	11	22	9	4	4	0	4	0.0	4		-	9999
Iced Coffee with Sugar Free French Vanilla Syrup (Large)	14	29	12	6	6	0	6	0.0	8		-	9999
Iced Mocha (Small)	17	33	12	5	14	4	10	0.0	25		-	9999
Iced Mocha (Medium)	19	38	13	6	17	5	10	0.0	30		-	9999
Iced Mocha (Large)	25	49	17	9	23	8	15	0.0	40		-	9999
Iced Mocha with Nonfat Milk (Small)	8	16	7	5	14	4	10	0.0	25		-	9999
Iced Mocha with Nonfat Milk (Medium)	8	17	7	6	17	5	15	0.0	30		-	9999
Iced Mocha with Nonfat Milk (Large)	9	18	8	9	24	8	20	0.0	45		-	9999
Iced Caramel Mocha (Small)	17	33	12	6	13	0	10	0.0	25		-	9999
Iced Caramel Mocha (Medium)	19	37	13	7	15	2	10	0.0	30		-	9999
Iced Caramel Mocha (Large)	25	48	17	10	22	3	15	0.0	40		-	9999
Iced Nonfat Caramel Mocha (Small)	8	16	7	6	13	0	10	0.0	25		-	9999
Iced Nonfat Caramel Mocha (Medium)	8	16	7	7	16	2	15	0.0	30		-	9999
Iced Nonfat Caramel Mocha (Large)	8	17	8	10	22	3	20	0.0	45		-	9999
Frappé Mocha (Small)	28	59	21	5	22	3	15	0.0	20		-	9999
Frappé Mocha (Medium)	34	71	25	7	27	4	15	0.0	25		-	9999
Frappé Mocha (Large)	41	85	30	8	33	4	20	0.0	35		-	9999
Frappé Caramel (Small)	29	60	22	5	21	0	15	0.0	25		-	9999
Frappé Caramel (Medium)	35	73	27	7	26	0	20	0.0	30		-	9999
Frappé Caramel (Large)	42	87	32	8	32	0	20	0.0	35		-	9999
Frappé Chocolate Chip (Small)	35	72	22	6	25	5	15	0.0	25		-	9999
Frappé Chocolate Chip (Medium)	41	85	26	7	30	5	15	0.0	30		-	9999
Frappé Chocolate Chip (Large)	48	101	32	8	37	5	20	0.0	35		-	9999
Blueberry Pomegranate Smoothie (Small)	1	0	1	2	17	12	0	2.0	6		-	9999
Blueberry Pomegranate Smoothie (Medium)	1	0	1	2	21	15	0	4.0	8		-	9999
Blueberry Pomegranate Smoothie (Large)	2	3	2	3	26	19	0	4.0	10		-	9999
Strawberry Banana Smoothie (Small)	1	0	1	2	16	10	0	30.0	8		-	9999
Strawberry Banana Smoothie (Medium)	1	0	1	2	19	13	0	35.0	8		-	9999
Strawberry Banana Smoothie (Large)	2	3	2	3	25	16	0	45.0	10		-	9999
Mango Pineapple Smoothie (Small)	1	0	1	2	17	4	30	20.0	8		-	9999
Mango Pineapple Smoothie (Medium)	1	0	1	2	20	5	40	25.0	8		-	9999
Mango Pineapple Smoothie (Large)	2	3	2	3	26	6	50	30.0	10		-	9999
Vanilla Shake (Small)	24	49	20	7	29	0	20	0.0	40		-	9999
Vanilla Shake (Medium)	29	61	24	9	36	0	25	0.0	50		-	9999
Vanilla Shake (Large)	35	73	29	11	45	0	30	0.0	60		-	9999
Strawberry Shake (Small)	25	52	21	7	30	0	20	0.0	40		-	9999
Strawberry Shake (Medium)	30	63	25	9	38	0	25	0.0	50		-	9999
Strawberry Shake (Large)	36	75	30	11	47	0	30	0.0	70		-	9999
Chocolate Shake (Small)	25	51	20	10	30	5	20	0.0	40		-	9999
Chocolate Shake (Medium)	30	62	24	13	38	6	25	0.0	50		-	9999
Chocolate Shake (Large)	36	74	29	16	47	8	30	0.0	60		-	9999
Shamrock Shake (Medium)	29	61	24	9	36	0	25	0.0	50		-	9999
Shamrock Shake (Large)	35	73	29	11	45	0	30	0.0	60		-	9999
McFlurry with M&M’s Candies (Small)	35	72	17	7	32	6	15	0.0	45		-	9999
McFlurry with M&M’s Candies (Medium)	50	102	25	11	46	7	25	0.0	70		-	9999
McFlurry with M&M’s Candies (Snack)	24	48	11	5	21	4	10	0.0	30		-	9999
McFlurry with Oreo Cookies (Small)	26	44	14	12	27	4	15	0.0	40		-	9999
McFlurry with Oreo Cookies (Medium)	35	58	19	16	35	5	20	0.0	50		-	9999
McFlurry with Oreo Cookies (Snack)	17	29	9	8	18	2	10	0.0	25		-	9999
McFlurry with Reese's Peanut Butter Cups (Medium)	50	76	20	17	38	9	20	0.0	60		-	9999
McFlurry with Reese's Peanut Butter Cups (Snack)	25	38	10	8	19	5	10	0.0	30		-	9999
