Item;Serving Size;Calories;Calories from Fat;Total Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein;Category ID
Iced Nonfat Caramel Mocha (Medium);16 fl oz cup;270.0;45 cal;5,0;3.0;0.0;20;170;47;1;41;10;4
Iced Nonfat Caramel Mocha (Large);22 fl oz cup;370.0;50 cal;6,0;3.5;0.0;25;250;65;1;59;14;4
Frappé Mocha (Small);12 fl oz cup;450.0;160 cal;18,0;12.0;1.0;65;125;65;1;57;7;4
Frappé Mocha (Medium);16 fl oz cup;550.0;200 cal;22,0;14.0;1.0;75;160;80;1;71;9;4
Frappé Mocha (Large);22 fl oz cup;670.0;240 cal;26,0;17.0;1.0;90;190;98;1;88;11;4
Frappé Caramel (Small);12 fl oz cup;450.0;170 cal;19,0;12.0;1.0;65;125;64;0;57;7;4
Frappé Caramel (Medium);16 fl oz cup;550.0;200 cal;23,0;15.0;1.0;80;160;79;0;71;9;4
Frappé Caramel (Large);22 fl oz cup;670.0;250 cal;27,0;17.0;1.5;95;190;96;0;88;11;4
Frappé Chocolate Chip (Small);12 fl oz cup;530.0;200 cal;23,0;14.0;1.0;65;135;76;1;67;8;4
Frappé Chocolate Chip (Medium);16 fl oz cup;630.0;240 cal;26,0;17.0;1.0;80;160;91;1;81;9;4
Frappé Chocolate Chip (Large);22 fl oz cup;760.0;280 cal;31,0;20.0;1.5;95;200;111;1;99;12;4
Blueberry Pomegranate Smoothie (Small);12 fl oz cup;220.0;5 cal;0,5;0.0;0.0;5;40;50;3;44;2;7
Blueberry Pomegranate Smoothie (Medium);16 fl oz cup;260.0;5 cal;1,0;0.0;0.0;5;50;62;4;54;3;7
Blueberry Pomegranate Smoothie (Large);22 fl oz cup;340.0;10 cal;1,0;0.5;0.0;5;65;79;5;70;4;7
Strawberry Banana Smoothie (Small);12 fl oz cup;210.0;5 cal;0,5;0.0;0.0;5;50;47;3;44;3;7
Strawberry Banana Smoothie (Medium);16 fl oz cup;250.0;5 cal;1,0;0.0;0.0;5;60;58;3;54;4;7
Strawberry Banana Smoothie (Large);22 fl oz cup;330.0;10 cal;1,0;0.5;0.0;5;80;74;4;70;5;7
Mango Pineapple Smoothie (Small);12 fl oz cup;210.0;5 cal;0,5;0.0;0.0;5;40;50;1;46;2;7
Mango Pineapple Smoothie (Medium);16 fl oz cup;260.0;10 cal;1,0;0.0;0.0;5;45;61;1;56;3;7
Mango Pineapple Smoothie (Large);22 fl oz cup;340.0;10 cal;1,0;0.5;0.0;5;60;78;2;72;4;7
Vanilla Shake (Small);12 fl oz cup;530.0;140 cal;15,0;10.0;1.0;60;160;86;0;63;11;7
Vanilla Shake (Medium);16 fl oz cup;660.0;170 cal;19,0;12.0;1.0;75;200;109;0;81;14;7
Vanilla Shake (Large);22 fl oz cup;820.0;210 cal;23,0;15.0;1.0;90;260;135;0;101;18;7
Strawberry Shake (Small);12 fl oz cup;550.0;150 cal;16,0;10.0;1.0;60;160;90;0;79;12;7
Strawberry Shake (Medium);16 fl oz cup;690.0;180 cal;20,0;13.0;1.0;75;210;114;0;100;15;7
Strawberry Shake (Large);22 fl oz cup;850.0;210 cal;24,0;15.0;1.0;90;260;140;0;123;18;7
Chocolate Shake (Small);12 fl oz cup;560.0;150 cal;16,0;10.0;1.0;60;240;91;1;77;12;7
Chocolate Shake (Medium);16 fl oz cup;700.0;180 cal;20,0;12.0;1.0;75;300;114;2;97;15;7
Chocolate Shake (Large);22 fl oz cup;850.0;210 cal;23,0;15.0;1.0;85;380;141;2;120;19;7
Shamrock Shake (Medium);16 fl oz cup;660.0;170 cal;19,0;12.0;1.0;75;210;109;0;93;14;7
Shamrock Shake (Large);22 fl oz cup;820.0;210 cal;23,0;15.0;1.0;90;260;135;0;115;18;7
McFlurry with M&M’s Candies (Small);10.9 oz (310 g);650.0;210 cal;23,0;14.0;0.5;50;180;96;1;89;13;7
McFlurry with M&M’s Candies (Medium);16.2 oz (460 g);930.0;290 cal;33,0;20.0;1.0;75;260;139;2;128;20;7
