Item;Serving Size;Calories;Calories from Fat;Total Fat;Saturated Fat;Trans Fat;Cholesterol;Sodium;Carbohydrates;Dietary Fiber;Sugars;Protein;Category ID
Premium Bacon Ranch Salad with Crispy Chicken;9 oz (255 g);380.0;190 cal;21,0;6.0;0.0;70;860;22;2;5;25;6
Premium Bacon Ranch Salad with Grilled Chicken;8.5 oz (241 g);220.0;80 cal;8,0;4.0;0.0;85;690;8;2;4;29;6
Premium Southwest Salad (without Chicken);8.1 oz (230 g);140.0;40 cal;4,5;2.0;0.0;10;150;20;6;6;6;6
Premium Southwest Salad with Crispy Chicken;12.3 oz (348 g);450.0;190 cal;22,0;4.5;0.0;50;850;42;7;12;23;6
Premium Southwest Salad with Grilled Chicken;11.8 oz (335 g);290.0;80 cal;8,0;2.5;0.0;70;680;28;7;10;27;6
Chipotle BBQ Snack Wrap (Crispy Chicken);4.6 oz (130 g);340.0;130 cal;15,0;4.5;0.0;30;780;37;1;8;14;8
Chipotle BBQ Snack Wrap (Grilled Chicken);4.3 oz (123 g);260.0;70 cal;8,0;3.5;0.0;40;700;30;1;7;16;8
Honey Mustard Snack Wrap (Crispy Chicken);4.3 oz (123 g);330.0;130 cal;15,0;4.5;0.0;35;730;34;1;3;14;8
Honey Mustard Snack Wrap (Grilled Chicken);4.1 oz (116 g);250.0;70 cal;8,0;3.5;0.0;45;650;27;1;2;16;8
Ranch Snack Wrap (Crispy Chicken);4.5 oz (128 g);360.0;180 cal;20,0;5.0;0.0;40;810;32;1;3;15;8
Ranch Snack Wrap (Grilled Chicken);4.3 oz (121 g);280.0;120 cal;13,0;4.5;0.0;45;720;25;1;2;16;8
Small French Fries;2.6 oz (75 g);230.0;100 cal;11,0;1.5;0.0;0;130;30;2;0;2;8
Medium French Fries;3.9 oz (111 g);340.0;140 cal;16,0;2.5;0.0;0;190;44;4;0;4;8
Large French Fries;5.9 oz (168 g);510.0;220 cal;24,0;3.5;0.0;0;290;67;5;0;6;8
Kids French Fries;1.3 oz (38 g);110.0;50 cal;5,0;1.0;0.0;0;65;15;1;0;1;8
Side Salad;3.1 oz (87 g);20.0;0 cal;0,0;0.0;0.0;0;10;4;1;2;1;8
Apple Slices;1.2 oz (34 g);15.0;0 cal;0,0;0.0;0.0;0;0;4;0;3;0;8
Fruit 'n Yogurt Parfait;5.2 oz (149 g);150.0;20 cal;2,0;1.0;0.0;5;70;30;1;23;4;8
Baked Apple Pie;2.7 oz (77 g);250.0;110 cal;13,0;7.0;0.0;0;170;32;4;13;2;5
Chocolate Chip Cookie;1 cookie (33 g);160.0;70 cal;8,0;3.5;0.0;10;90;21;1;15;2;5
Oatmeal Raisin Cookie;1 cookie (33 g);150.0;50 cal;6,0;2.5;0.0;10;135;22;1;13;2;5
Kids Ice Cream Cone;1 oz (29 g);45.0;10 cal;1,5;1.0;0.0;5;20;7;0;6;1;5
Hot Fudge Sundae;6.3 oz (179 g);330.0;80 cal;9,0;7.0;0.0;25;170;53;1;48;8;5
Hot Caramel Sundae;6.4 oz (182 g);340.0;70 cal;8,0;5.0;0.0;30;150;60;0;43;7;5
Strawberry Sundae;6.3 oz (178 g);280.0;60 cal;6,0;4.0;0.0;25;85;49;0;45;6;5
Coca-Cola Classic (Small);16 fl oz cup;140.0;0 cal;0,0;0.0;0.0;0;0;39;0;39;0;1
Coca-Cola Classic (Medium);21 fl oz cup;200.0;0 cal;0,0;0.0;0.0;0;5;55;0;55;0;1
Coca-Cola Classic (Large);30 fl oz cup;280.0;0 cal;0,0;0.0;0.0;0;5;76;0;76;0;1
Coca-Cola Classic (Child);12 fl oz cup;100.0;0 cal;0,0;0.0;0.0;0;0;28;0;28;0;1
Diet Coke (Small);16 fl oz cup;;0 cal;0,0;0.0;0.0;0;10;0;0;0;0;1
Diet Coke (Medium);21 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;20;0;0;0;0;1
Diet Coke (Large);30 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;35;0;0;0;0;1
Diet Coke (Child);12 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;15;0;0;0;0;1
Dr Pepper (Small);16 fl oz cup;140.0;0 cal;0,0;0.0;0.0;0;45;37;0;35;0;1
Dr Pepper (Medium);21 fl oz cup;190.0;0 cal;0,0;0.0;0.0;0;65;53;0;51;0;1
Dr Pepper (Large);30 fl oz cup;270.0;0 cal;0,0;0.0;0.0;0;90;72;0;70;0;1
Dr Pepper (Child);12 fl oz cup;100.0;0 cal;0,0;0.0;0.0;0;30;27;0;26;0;1
Diet Dr Pepper (Small);16 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;70;0;0;0;2;1
Diet Dr Pepper (Medium);21 fl oz cup;;0 cal;0,0;0.0;0.0;0;100;0;0;0;3;1
Diet Dr Pepper (Large);30 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;140;0;0;0;4;1
Diet Dr Pepper (Child);12 fl oz cup;0.0;0 cal;0,0;0.0;0.0;0;50;0;0;0;1;1
Sprite (Small);16 fl oz cup;140.0;0 cal;0,0;0.0;0.0;0;30;37;0;37;0;1
Sprite (Medium);21 fl oz cup;200.0;0 cal;0,0;0.0;0.0;0;45;54;0;54;0;1
