2021-07-06 08:52:10,"b'RT @SanidadGobCan: \xf0\x9f\x92\x89Si resides en El Hierro, tienes m\xc3\xa1s de 16 a\xc3\xb1os y no has recibido ninguna dosis de la #vacuna contra la #COVID19 puedes\xe2\x80\xa6'"
2021-07-06 08:52:09,"b'RT @DrPacoMoreno1: Mientras la pandemia por #COVID19 no haya terminado, debemos usar cubrebocas.\nHoy M\xc3\xa9xico est\xc3\xa1 en un tercer repunte, #Usa\xe2\x80\xa6'"
2021-07-06 08:52:02,"b'RT @verificado_mx: \xf0\x9f\xa7\x90Es #FALSO que mexicanos no puedan cruzar la frontera si tienen vacuna de #COVID19 \xe2\x80\x9cchina o rusa\xe2\x80\x9d, como se se\xc3\xb1ala en un\xe2\x80\xa6'"
2021-07-06 08:51:55,b'RT @InteresMas: \xf0\x9f\x92\x89 Los mayores de 30 a\xc3\xb1os pueden pedir cita desde hoy para vacunarse contra la #COVID19. La \n@ComunidadMadrid tambi\xc3\xa9n habili\xe2\x80\xa6'
2021-07-06 08:51:50,b'RT @jjboix: ACTIVOS 15 de 21 hospitales en Espa\xc3\xb1a. Ensayo de #Aplidin contra #COVID19\n\xc2\xbf@ccarballo a qu\xc3\xa9 espera @AEMSGOB en urgencias? @SEME\xe2\x80\xa6'
2021-07-06 08:51:30,b'RT @TodoInfoCR: CrVehicular: #Restricci\xc3\xb3nVehicularCR\n#COVID19 \n#TraficoCR\n#QuedateEnCasa \xf0\x9f\x8f\xa0\n\n\xe2\x9a\xab Restricci\xc3\xb3n vehicular sanitaria de las 5 A.M.\xe2\x80\xa6'
2021-07-06 08:51:23,"b'RT @oscarcosta_: No nos podemos rendir ahora que ya empezamos a sentir que el final de la guerra contra el #COVID19 est\xc3\xa1 cerca, as\xc3\xad que por\xe2\x80\xa6'"
2021-07-06 08:51:22,b'RT @saludand: \xf0\x9f\x94\xb4Si naciste en 1987 (tienes 34 a\xc3\xb1os o vas a cumplirlos) ya puedes pedir cita para la vacunaci\xc3\xb3n frente al #COVID19 en: \n\n\xe2\x98\x91\xef\xb8\x8fCl\xe2\x80\xa6'
2021-07-06 08:51:20,b'RT @nkreplak: Ya comenz\xc3\xb3 a atender en #Pilar el Tren Sanitario que llegara a #Junin en su segundo viaje. Hoy aplic\xc3\xb3 66 vacunas contra #COVI\xe2\x80\xa6'
2021-07-06 08:51:18,"b'RT @PabloFuente: #COVID19 Pues el certificado COVID digital de la UE de la CCAA de Madrid funciona muy bien, ya en mi m\xc3\xb3vil.'"
2021-07-06 08:51:14,b'RT @DrPacoMoreno1: Qu\xc3\xa9 sabemos hoy de la eficacia de las vacunas contra #COVID19 \nQu\xc3\xa9 nos falta por saber'
2021-07-06 08:51:01,b'RT @abcdesevilla: [Coronavirus\xf0\x9f\x94\xb4]  Espa\xc3\xb1a ya sufre la quinta ola con la Atenci\xc3\xb3n Primaria colapsada https://t.co/zhfGHNAjtz #Covid19'
2021-07-06 08:50:57,"b'RT @We_T_Resistance: El verano del terror se impone\n\nCon quinta ola, sin haber habido 4 ni 3 (por lo menos) y con la AP colapsadla por segu\xe2\x80\xa6'"
2021-07-06 08:50:56,"b'RT @MariaEugeniaGay: Cumbre Internacional sobre el #EstadoDerecho de @worldjurist, conducido por Kim Quarles, VP @worldjurist. Primera mesa\xe2\x80\xa6'"
2021-07-06 08:50:54,b'Pero no lo entienden #COVID19 \xf0\x9f\xa7\x90\xf0\x9f\xa4\x94\xf0\x9f\x98\xb7\xf0\x9f\x87\xb2\xf0\x9f\x87\xbd @HemoMacGregor https://t.co/2K82z8CTK9'
2021-07-06 08:50:52,"b'RT @mariaytodos: Para FRENAR la transmisi\xc3\xb3n #COVID19 tenemos que hacer que los Interiores sean como los Exteriores en ventilaci\xc3\xb3n, aire ren\xe2\x80\xa6'"
2021-07-06 08:50:41,b'RT @longcovidspain: Las bajas laborales por la #Covid19 se reconocen como accidente de trabajo en Castilla y Le\xc3\xb3n gracias a @UGTcyl Desde e\xe2\x80\xa6'
2021-07-06 08:50:35,"b'RT @MariaEugeniaGay: Cumbre Internacional sobre el #EstadoDerecho de @worldjurist, conducido por Kim Quarles, VP @worldjurist. Primera mesa\xe2\x80\xa6'"
2021-07-06 08:50:23,"b'RT @sonia_riverogc: \xf0\x9f\xa4\x94 Entonces, un vacunado puede viajar libremente con su #pasaportecovid , pero tambi\xc3\xa9n puede estar infectado, infectar,\xe2\x80\xa6'"
2021-07-06 08:50:17,b'RT @clapph: Alguien en Valencia que pueda ayudar? #Valencia #Carabobo #COVID19 @AlexaGomezDos \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/pRZ6TEA8gW'
