AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2017;Diciembre;ARGANZUELA;22;8;19;16;12;5;3;85
2017;Diciembre;RETIRO;13;5;18;7;9;11;20;83
2017;Diciembre;SALAMANCA;20;4;17;12;20;12;4;89
2017;Diciembre;CHAMARTIN;23;6;20;13;24;6;14;106
2017;Diciembre;TETUAN;23;7;23;12;19;11;2;97
2017;Diciembre;CHAMBERI;12;9;20;17;17;6;1;82
2017;Diciembre;FUENCARRAL;34;4;23;10;31;10;3;115
2017;Diciembre;MONCLOA;17;3;25;11;10;17;3;86
2017;Diciembre;LATINA;27;5;33;17;36;7;10;135
2017;Diciembre;CARABANCHEL;54;7;25;12;30;18;4;150
2017;Diciembre;USERA;30;0;16;4;16;9;4;79
2017;Diciembre;PUENTE VALLECAS;39;9;32;12;31;16;2;141
2017;Diciembre;MORATALAZ;5;2;9;2;12;3;0;33
2017;Diciembre;CIUDAD LINEAL;21;3;21;15;24;12;0;96
2017;Diciembre;HORTALEZA;27;4;21;5;19;10;2;88
2017;Diciembre;VILLAVERDE;34;5;12;3;15;7;1;77
2017;Diciembre;VILLA DE VALLECAS;24;2;3;6;7;12;1;55
2017;Diciembre;VICALVARO;15;0;5;1;7;6;1;35
2017;Diciembre;SAN BLAS;12;7;13;7;13;6;9;67
2017;Diciembre;BARAJAS;4;6;7;0;5;3;0;25
