AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2017;Agosto;CENTRO;47;20;44;26;34;19;9;199
2017;Agosto;ARGANZUELA;24;5;20;15;28;13;3;108
2017;Agosto;RETIRO;11;7;12;9;30;3;1;73
2017;Agosto;SALAMANCA;19;12;20;17;32;4;1;105
2017;Agosto;CHAMARTIN;15;6;21;8;34;11;2;97
2017;Agosto;TETUAN;18;10;27;13;20;14;1;103
2017;Agosto;CHAMBERI;17;11;22;6;18;8;1;83
2017;Agosto;FUENCARRAL;34;3;25;7;38;15;2;124
2017;Agosto;MONCLOA;16;1;25;6;27;7;2;84
2017;Agosto;LATINA;24;4;29;19;33;8;1;118
2017;Agosto;CARABANCHEL;58;9;35;13;35;19;1;170
2017;Agosto;USERA;47;4;15;6;14;10;1;97
2017;Agosto;PUENTE VALLECAS;42;6;36;12;26;14;1;137
2017;Agosto;MORATALAZ;17;0;12;5;10;10;0;54
2017;Agosto;CIUDAD LINEAL;17;4;27;19;58;11;0;136
2017;Agosto;HORTALEZA;17;1;18;12;57;7;0;112
2017;Agosto;VILLAVERDE;54;8;17;13;25;13;1;131
2017;Agosto;VILLA DE VALLECAS;24;2;14;6;12;14;0;72
2017;Agosto;VICALVARO;31;1;4;4;5;13;1;59
2017;Agosto;SAN BLAS;16;2;20;13;31;8;0;90
2017;Agosto;BARAJAS;7;3;6;2;6;7;0;31
2017;Septiembre;CENTRO;38;14;33;11;34;19;6;155
2017;Septiembre;ARGANZUELA;31;9;28;7;14;11;10;110
2017;Septiembre;RETIRO;8;6;13;6;20;4;2;59
2017;Septiembre;SALAMANCA;23;5;18;11;25;10;0;92
2017;Septiembre;CHAMARTIN;13;13;18;7;20;9;5;85
2017;Septiembre;TETUAN;20;7;21;6;8;6;1;69
2017;Septiembre;CHAMBERI;24;9;28;5;25;9;2;102
2017;Septiembre;FUENCARRAL;20;1;17;2;27;13;9;89
2017;Septiembre;MONCLOA;21;5;25;6;17;8;5;87
2017;Septiembre;LATINA;24;2;24;8;20;14;7;99
2017;Septiembre;CARABANCHEL;43;6;26;8;29;15;4;131
2017;Septiembre;USERA;20;2;12;3;20;7;19;83
2017;Septiembre;PUENTE VALLECAS;41;7;33;2;16;11;6;116
2017;Septiembre;MORATALAZ;15;0;11;1;2;2;1;32
2017;Septiembre;CIUDAD LINEAL;27;6;29;1;21;11;4;99
2017;Septiembre;HORTALEZA;17;2;12;4;27;11;1;74
2017;Septiembre;VILLAVERDE;32;4;15;3;9;8;2;73
2017;Septiembre;VILLA DE VALLECAS;23;2;21;1;6;10;4;67
2017;Septiembre;VICALVARO;10;0;5;0;5;3;0;23
2017;Septiembre;SAN BLAS;20;2;16;5;18;9;5;75
2017;Septiembre;BARAJAS;2;2;10;3;5;5;1;28
2017;Septiembre;FUERA TERMINO MUNICIPAL;1;0;0;0;0;0;1;2
2017;Octubre;CENTRO;32;17;43;13;33;16;12;166
2017;Octubre;ARGANZUELA;12;2;23;8;15;13;6;79
2017;Octubre;RETIRO;11;3;13;6;11;3;2;49
2017;Octubre;SALAMANCA;18;11;19;6;20;8;1;83
2017;Octubre;CHAMARTIN;16;6;20;5;18;11;7;83
2017;Octubre;TETUAN;10;6;27;6;14;11;2;76
2017;Octubre;CHAMBERI;22;7;23;10;17;13;2;94
2017;Octubre;FUENCARRAL;33;3;18;12;13;11;8;98
2017;Octubre;MONCLOA;15;5;22;14;13;10;6;85
2017;Octubre;LATINA;29;4;30;10;17;12;19;121
2017;Octubre;CARABANCHEL;50;7;21;14;21;14;10;137
2017;Octubre;USERA;26;3;14;7;6;8;6;70
2017;Octubre;PUENTE VALLECAS;32;5;22;4;20;20;6;109
2017;Octubre;MORATALAZ;10;3;10;7;5;7;2;44
2017;Octubre;CIUDAD LINEAL;24;2;28;11;20;13;3;101
2017;Octubre;HORTALEZA;24;1;18;6;12;7;6;74
2017;Octubre;VILLAVERDE;34;2;13;6;15;4;6;80
2017;Octubre;VILLA DE VALLECAS;27;2;8;4;4;14;1;60
2017;Octubre;VICALVARO;10;2;8;0;6;6;3;35
2017;Octubre;SAN BLAS;17;1;18;2;20;7;3;68
2017;Octubre;BARAJAS;14;0;4;5;3;8;0;34
2017;Octubre;FUERA TERMINO MUNICIPAL;0;0;0;0;0;0;1;1
2017;Noviembre;CENTRO;30;23;23;17;31;17;25;166
2017;Noviembre;ARGANZUELA;21;9;24;11;17;8;7;97
2017;Noviembre;RETIRO;8;4;11;7;7;3;2;42
2017;Noviembre;SALAMANCA;17;6;12;9;15;9;4;72
2017;Noviembre;CHAMARTIN;20;2;20;9;11;8;6;76
2017;Noviembre;TETUAN;20;6;23;7;14;14;6;90
2017;Noviembre;CHAMBERI;11;4;23;12;13;12;4;79
2017;Noviembre;FUENCARRAL;22;4;28;8;11;12;3;88
2017;Noviembre;MONCLOA;20;3;21;7;21;9;5;86
2017;Noviembre;LATINA;26;3;19;3;18;13;29;111
2017;Noviembre;CARABANCHEL;40;7;31;12;20;16;11;137
2017;Noviembre;USERA;15;3;16;6;5;6;1;52
2017;Noviembre;PUENTE VALLECAS;33;4;20;3;17;13;3;93
2017;Noviembre;MORATALAZ;13;0;9;4;3;5;1;35
2017;Noviembre;CIUDAD LINEAL;25;6;22;11;21;13;1;99
2017;Noviembre;HORTALEZA;20;1;12;2;13;10;2;60
2017;Noviembre;VILLAVERDE;31;2;10;5;15;7;8;78
2017;Noviembre;VILLA DE VALLECAS;30;3;13;2;11;14;1;74
2017;Noviembre;VICALVARO;10;1;7;1;4;5;0;28
2017;Noviembre;SAN BLAS;13;2;19;5;14;7;3;63
2017;Noviembre;BARAJAS;7;0;1;2;4;2;2;18
2017;Diciembre;CENTRO;28;21;36;27;33;26;15;186
